,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed,Max Temp
0,north bend,US,2020-04-09 21:47:46,43.41,-124.22,87,90,12.75,50
1,kampot,KH,2020-04-09 21:47:49,10.62,104.18,64,91,5.95,87.06
2,kloulklubed,PW,2020-04-09 21:47:49,7.04,134.26,66,75,13.87,87.8
3,ushuaia,AR,2020-04-09 21:47:50,-54.8,-68.3,58,75,28.86,59
4,tiksi,RU,2020-04-09 21:47:50,71.69,128.87,93,87,20.89,31.57
5,saldanha,ZA,2020-04-09 21:47:50,-33.01,17.94,93,100,3.36,59
6,sisian,AM,2020-04-09 21:47:50,39.53,46.03,36,75,11.41,41
7,saint-philippe,RE,2020-04-09 21:47:50,-21.36,55.77,65,2,14.99,82.4
8,bahia honda,CU,2020-04-09 21:47:51,22.9,-83.16,78,12,0.18,75.42
9,albany,US,2020-04-09 21:46:33,42.6,-73.97,52,20,16.11,41
10,doha,QA,2020-04-09 21:45:20,25.29,51.53,33,67,12.75,89.6
11,muisne,EC,2020-04-09 21:47:52,0.6,-80.03,83,100,5.93,77
12,tuatapere,NZ,2020-04-09 21:47:53,-46.13,167.68,78,11,11.99,57.99
13,barrow,US,2020-04-09 21:45:24,71.29,-156.79,77,40,14.99,-0.4
14,vaini,TO,2020-04-09 21:47:54,-21.2,-175.2,61,20,9.17,80.6
15,hobart,AU,2020-04-09 21:46:03,-42.88,147.33,45,40,14.99,68
16,puerto ayora,EC,2020-04-09 21:47:54,-0.74,-90.35,87,7,1.41,80.01
17,cherskiy,RU,2020-04-09 21:47:55,68.75,161.3,92,66,12.68,7.79
18,la ronge,CA,2020-04-09 21:47:55,55.1,-105.28,86,20,5.82,32
19,champerico,GT,2020-04-09 21:47:55,14.3,-91.92,79,99,7.38,82.04
20,anloga,GH,2020-04-09 21:47:55,5.79,0.9,83,20,3.36,82.4
21,tessalit,ML,2020-04-09 21:47:55,20.2,1.01,13,98,8.03,79.18
22,torbay,CA,2020-04-09 21:47:56,47.67,-52.73,86,20,17.22,28.99
23,kapaa,US,2020-04-09 21:47:56,22.08,-159.32,73,75,6.93,77
24,rikitea,PF,2020-04-09 21:47:56,-23.12,-134.97,74,100,10.29,76.91
25,lebu,CL,2020-04-09 21:47:56,-37.62,-73.65,89,70,4.14,50.92
26,hilo,US,2020-04-09 21:47:57,19.73,-155.09,78,90,5.3,75.2
27,pevek,RU,2020-04-09 21:47:57,69.7,170.31,90,49,5.93,-3.28
28,busselton,AU,2020-04-09 21:47:57,-33.65,115.33,36,98,2.53,84.99
29,makaha,US,2020-04-09 21:47:57,21.47,-158.22,69,40,9.17,78.8
30,illoqqortoormiut,,,,,,,,
31,butaritari,KI,2020-04-09 21:47:58,3.07,172.79,77,100,9.69,84.34
32,mataura,NZ,2020-04-09 21:47:58,-46.19,168.86,78,5,11.99,57.99
33,cape town,ZA,2020-04-09 21:47:58,-33.93,18.42,100,75,3.36,61
34,sao joao da barra,BR,2020-04-09 21:47:59,-21.64,-41.05,81,96,7.54,69.8
35,new norfolk,AU,2020-04-09 21:47:59,-42.78,147.06,45,40,14.99,68
36,kashi,CN,2020-04-09 21:48:02,39.45,75.98,7,2,11.18,64.4
37,kodiak,US,2020-04-09 21:48:03,57.79,-152.41,51,1,4.7,39.2
38,zhetybay,,,,,,,,
39,nizhneyansk,,,,,,,,
40,ketchikan,US,2020-04-09 21:48:05,55.34,-131.65,64,1,11.41,42.8
41,san andres,CO,2020-04-09 21:44:50,12.58,-81.7,74,75,8.05,82.4
42,tuktoyaktuk,CA,2020-04-09 21:48:05,69.45,-133.04,84,20,14.99,3.2
43,qaanaaq,GL,2020-04-09 21:48:06,77.48,-69.36,82,2,4.32,1.94
44,mount gambier,AU,2020-04-09 21:48:06,-37.83,140.77,59,74,13.87,66.2
45,saint george,US,2020-04-09 21:44:26,37.1,-113.58,66,1,5.82,53.01
46,mys shmidta,,,,,,,,
47,pringsewu,ID,2020-04-09 21:48:07,-5.36,104.97,71,93,0.6,87.1
48,karakol,KG,2020-04-09 21:45:55,42.49,78.39,34,0,5.03,38.93
49,laguna,US,2020-04-09 21:48:07,38.42,-121.42,67,20,3.36,59
50,bluff,NZ,2020-04-09 21:48:07,-46.6,168.33,78,31,11.99,57.99
51,upernavik,GL,2020-04-09 21:48:08,72.79,-56.15,85,50,7.11,11.48
52,airai,TL,2020-04-09 21:48:08,-8.93,125.41,67,40,1.95,67.46
53,georgetown,MY,2020-04-09 21:48:08,5.41,100.34,66,40,3.36,89.6
