,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed
0,geraldton,-28.77,114.6,295.23,64,41,0.5
1,busselton,-33.65,115.33,296.44,38,24,3.45
2,torbay,47.67,-52.73,270.53,73,75,4.6
3,castro,-24.79,-50.01,287.38,49,0,1.68
4,hobart,-42.88,147.33,285.7,66,11,4.6
5,butaritari,3.07,172.79,301.85,78,60,6.58
6,dikson,73.51,80.55,273.33,96,100,11.42
7,tuggurt,,,,,,
8,atuona,-9.8,-139.03,301.31,78,25,6.14
9,avarua,-21.21,-159.78,303.15,84,75,9.3
10,hithadhoo,-0.6,73.08,302.29,70,58,4.79
11,xichang,27.9,102.26,285.76,42,72,0.96
12,beringovskiy,63.05,179.32,264.92,87,19,0.12
13,gewane,10.17,40.65,301.29,38,0,2.28
14,lebu,-37.62,-73.65,285.19,89,2,0.99
15,illoqqortoormiut,,,,,,
16,ushuaia,-54.8,-68.3,293.15,30,6,1.5
17,lagoa,39.05,-27.98,289.26,82,0,5.8
18,tuktoyaktuk,69.45,-133.04,261.15,72,20,5.7
19,albany,42.6,-73.97,282.71,54,90,5.7
20,indramayu,-6.33,108.32,299.76,83,97,1.62
21,saskylakh,71.92,114.08,270.91,97,98,3.54
22,saint-leu,-21.15,55.28,293.6,69,0,4.1
23,rikitea,-23.12,-134.97,297.94,80,80,4.23
24,pevek,69.7,170.31,256.24,92,100,3.73
25,yulara,-25.24,130.99,296.15,35,0,7.7
26,meadow lake,34.8,-106.54,294.37,12,1,5.1
27,kedrovyy,56.17,91.82,276.15,69,75,5
28,taolanaro,,,,,,
29,guerrero negro,27.98,-114.06,290.85,62,98,5.97
30,hermanus,-34.42,19.23,287.9,75,2,2.24
31,pacific grove,36.62,-121.92,286.17,71,75,6.7
32,souillac,-20.52,57.52,298.71,82,55,1.79
33,mataura,-46.19,168.86,285.37,85,100,4.47
34,khatanga,71.97,102.5,274.66,91,100,5.91
35,barrow,71.29,-156.79,255.15,77,1,3.6
36,assiniboia,49.63,-105.98,274.77,49,49,12.58
37,esperance,-33.87,121.9,294.15,49,0,9.8
38,attawapiskat,,,,,,
39,cururupu,-1.83,-44.87,298.4,92,100,3.7
40,aksu,41.12,80.26,285.62,24,4,1.65
41,grindavik,63.84,-22.43,271.61,100,40,3.6
42,puerto ayora,-0.74,-90.35,300.31,78,20,5.1
43,longyearbyen,78.22,15.64,251.15,76,20,3.13
44,constitucion,-35.33,-72.42,284.48,90,65,1.13
45,kavieng,-2.57,150.8,301.96,74,13,1.91
46,newtownards,54.59,-5.69,283.73,87,97,2.6
47,kazanskoye,55.64,69.23,271.13,89,100,6.52
48,bull savanna,17.89,-77.59,297.34,75,87,1.13
49,port alfred,-33.59,26.89,290.94,71,85,8.4
50,asfi,32.3,-9.24,291.24,74,90,4.34
51,jardim,-21.48,-56.14,292.21,58,0,2.02
52,vaini,-21.2,-175.2,301.15,83,75,12.9
53,mount gambier,-37.83,140.77,289.15,77,5,3.1
54,talnakh,69.49,88.4,270.15,79,66,9
55,airai,-8.93,125.41,292.66,61,95,0.26
56,jamestown,42.1,-79.24,282.85,66,1,2.1
57,kapaa,22.08,-159.32,298.96,69,40,5.1
58,bethel,41.37,-73.41,282.91,58,20,2.1
59,qaanaaq,77.48,-69.36,262.37,84,100,3.47
60,ushtobe,45.25,77.98,275.83,80,100,5.72
61,puro,12.48,123.38,300.46,67,2,2.49
62,kalmunai,7.42,81.82,299.74,76,13,1.07
63,yar-sale,66.83,70.83,264.33,96,100,7.02
64,saint-philippe,-21.36,55.77,293.56,69,2,4.1
65,ramsar,36.92,50.64,279.15,87,75,4.6
66,hilo,19.73,-155.09,295.74,65,90,3.6
67,banikoara,11.3,2.44,303.29,45,73,2
68,bonavista,48.65,-53.11,270.37,77,77,2.68
69,sandwick,60,-1.25,277.71,80,0,4.6
70,broome,42.25,-75.83,281.58,66,1,1.5
71,cobija,-11.03,-68.77,297.51,74,28,1.27
72,east london,-33.02,27.91,292.04,66,99,5.76
73,voyvozh,62.89,54.96,268.36,97,91,3.1
74,mys shmidta,,,,,,
75,san patricio,19.22,-104.7,301.15,74,20,5.1
76,sa kaeo,13.81,102.07,299.72,77,40,0.91
77,yellowknife,62.46,-114.35,270.73,36,75,3.1
78,vila franca do campo,37.72,-25.43,289.15,93,20,2.6
79,nikolskoye,59.7,30.79,279.39,68,100,5
80,kodiak,57.79,-152.41,276.15,47,1,10.8
81,tsagan aman,47.56,46.72,276.7,69,17,5.98
82,punta arenas,-53.15,-70.92,285.77,62,32,4.6
83,kruisfontein,-34,24.73,287.83,69,96,6.83
84,bambous virieux,-20.34,57.76,298.71,82,69,1.79
85,maragogi,-9.01,-35.22,299.64,75,19,2.77
86,muli,2.92,73.57,302.21,67,54,3.52
87,paamiut,61.99,-49.67,272.88,86,98,1.61
88,bluff,-46.6,168.33,285.37,85,100,4.47
